lebel_type	dis_co_occu	ran_ds_no	best_l1_ratio	best_C	best_cv_train_rmse	test_rmse
shuff_leb	BMI	54	0.1	1000.0	7.902	6.62
ori_leb	BMI	55	0.1	0.4	4.783	6.033
shuff_leb	BMI	55	0.1	1000.0	7.592	7.93
ori_leb	BMI	56	0.1	0.6	5.072	5.601
shuff_leb	BMI	56	0.1	1000.0	7.867	6.81
ori_leb	BMI	57	0.1	0.6	5.076	6.051
shuff_leb	BMI	57	0.1	1000.0	7.638	7.765
ori_leb	BMI	58	0.1	0.6	5.143	5.469
shuff_leb	BMI	58	0.4	1.0	7.867	7.737
ori_leb	BMI	59	0.1	0.4	4.623	6.966
shuff_leb	BMI	59	0.1	1000.0	7.268	9.053
ori_leb	BMI	60	0.1	0.6	5.036	6.011
shuff_leb	BMI	60	0.1	10.0	7.657	7.667
ori_leb	BMI	61	0.1	0.6	4.997	6.458
shuff_leb	BMI	61	0.2	1.0	7.678	8.001
ori_leb	BMI	62	0.1	0.4	5.026	5.252
shuff_leb	BMI	62	0.1	1000.0	7.884	6.704
ori_leb	BMI	63	0.1	0.4	4.745	6.354
shuff_leb	BMI	63	0.6	1.0	7.859	7.57
ori_leb	BMI	64	0.1	0.6	5.121	5.549
shuff_leb	BMI	64	0.4	1.0	7.931	7.002
ori_leb	BMI	65	0.1	0.6	5.251	4.808
shuff_leb	BMI	65	0.1	10.0	7.859	6.825
ori_leb	BMI	66	0.1	0.4	4.855	6.246
shuff_leb	BMI	66	0.1	1000.0	7.693	7.611
ori_leb	BMI	67	0.1	0.4	4.924	5.71
shuff_leb	BMI	67	0.1	1000.0	7.708	7.512
ori_leb	BMI	68	0.1	0.4	4.918	5.679
shuff_leb	BMI	68	0.6	1.0	7.662	7.654
ori_leb	BMI	69	0.1	0.6	5.013	6.563
shuff_leb	BMI	69	0.1	10.0	7.489	8.322
ori_leb	BMI	70	0.1	0.4	4.612	7.058
shuff_leb	BMI	70	0.1	1000.0	7.308	8.97
ori_leb	BMI	71	0.1	0.4	4.846	6.503
shuff_leb	BMI	71	0.1	1000.0	7.535	8.14
ori_leb	BMI	72	0.1	0.6	5.064	6.231
shuff_leb	BMI	72	0.1	1000.0	7.551	8.081
ori_leb	BMI	73	0.1	0.4	4.754	6.641
shuff_leb	BMI	73	0.8	1.0	7.32	8.907
ori_leb	BMI	74	0.1	0.4	4.906	5.719
shuff_leb	BMI	74	0.1	10.0	7.674	7.619
ori_leb	BMI	75	0.1	0.4	4.822	6.078
shuff_leb	BMI	75	0.9	1.0	7.874	7.113
ori_leb	BMI	76	0.1	0.4	4.65	6.507
shuff_leb	BMI	76	0.1	1000.0	7.575	8.038
ori_leb	BMI	77	0.1	0.4	4.87	5.64
shuff_leb	BMI	77	0.1	1000.0	7.888	6.704
ori_leb	BMI	78	0.1	0.6	4.834	7.041
shuff_leb	BMI	78	0.8	1.0	7.483	8.728
ori_leb	BMI	79	0.1	0.6	4.858	6.642
shuff_leb	BMI	79	0.1	1000.0	7.485	8.326
ori_leb	BMI	80	0.1	0.6	5.023	6.057
shuff_leb	BMI	80	0.4	1.0	7.938	7.792
ori_leb	BMI	81	0.1	0.4	5.007	5.234
shuff_leb	BMI	81	0.1	10.0	7.789	7.145
ori_leb	BMI	82	0.1	0.6	5.037	6.198
shuff_leb	BMI	82	0.1	1000.0	7.627	7.792
ori_leb	BMI	83	0.1	0.4	4.831	5.717
shuff_leb	BMI	83	0.1	1000.0	7.67	7.623
ori_leb	BMI	84	0.1	0.6	5.014	6.344
shuff_leb	BMI	84	0.6	1.0	7.565	8.09
ori_leb	BMI	85	0.1	0.6	5.275	5.094
shuff_leb	BMI	85	0.1	1000.0	7.81	7.039
ori_leb	BMI	86	0.1	0.6	4.984	6.513
shuff_leb	BMI	86	0.6	1.0	7.384	8.989
ori_leb	BMI	87	0.1	0.4	4.774	6.027
shuff_leb	BMI	87	0.1	1000.0	7.739	7.367
ori_leb	BMI	88	0.1	0.6	5.096	5.703
shuff_leb	BMI	88	0.4	1.0	7.811	7.539
ori_leb	BMI	89	0.1	0.6	5.087	5.791
shuff_leb	BMI	89	0.1	1000.0	7.701	7.497
ori_leb	BMI	90	0.1	0.6	5.127	5.666
shuff_leb	BMI	90	0.1	10.0	7.657	7.679
ori_leb	BMI	91	0.1	0.4	4.647	6.91
shuff_leb	BMI	91	0.1	10.0	7.438	8.527
ori_leb	BMI	92	0.1	0.4	4.948	5.483
shuff_leb	BMI	92	0.1	10.0	7.883	6.744
ori_leb	BMI	93	0.1	0.4	4.898	5.657
shuff_leb	BMI	93	0.6	1.0	7.828	7.143
ori_leb	BMI	94	0.1	0.4	4.935	5.265
shuff_leb	BMI	94	0.1	1000.0	7.87	6.768
ori_leb	BMI	95	0.2	0.4	4.849	6.2
shuff_leb	BMI	95	0.6	1.0	7.726	7.451
ori_leb	BMI	96	0.1	0.4	4.938	5.469
shuff_leb	BMI	96	0.1	1000.0	7.806	7.082
ori_leb	BMI	97	0.1	0.4	4.744	6.738
shuff_leb	BMI	97	0.9	1.0	7.446	8.635
ori_leb	BMI	98	0.1	0.6	4.998	6.375
shuff_leb	BMI	98	0.9	0.6	7.575	8.102
ori_leb	BMI	99	0.1	0.6	5.085	6.318
shuff_leb	BMI	99	0.6	1.0	7.618	8.373
ori_leb	BMI	100	0.1	0.6	5.157	5.353
shuff_leb	BMI	100	0.1	1000.0	7.778	7.182
ori_leb	BMI	101	0.1	0.4	4.79	6.318
shuff_leb	BMI	101	0.1	1000.0	7.754	7.281
ori_leb	BMI	102	0.1	0.6	5.102	5.94
shuff_leb	BMI	102	0.8	1.0	7.629	7.968
ori_leb	BMI	103	0.1	0.6	4.97	6.417
shuff_leb	BMI	103	0.1	1000.0	7.46	8.411
ori_leb	BMI	104	0.1	0.6	5.037	6.032
shuff_leb	BMI	104	0.8	1.0	7.582	8.096
ori_leb	BMI	105	0.1	0.6	5.038	6.238
shuff_leb	BMI	105	0.1	1000.0	7.657	7.674
ori_leb	BMI	106	0.1	0.4	4.86	5.78
shuff_leb	BMI	106	0.1	1000.0	7.702	7.508
ori_leb	BMI	107	0.1	0.4	4.892	5.274
shuff_leb	BMI	107	0.1	1000.0	7.8	7.105
ori_leb	BMI	108	0.1	0.4	4.869	5.564
shuff_leb	BMI	108	0.1	1000.0	7.84	6.906
ori_leb	BMI	109	0.1	0.6	5.153	5.349
shuff_leb	BMI	109	0.1	1000.0	7.794	7.108
ori_leb	BMI	110	0.1	0.6	5.204	5.349
shuff_leb	BMI	110	0.9	1.0	7.817	7.007
ori_leb	BMI	111	0.1	0.6	5.022	6.203
shuff_leb	BMI	111	0.8	1.0	7.635	7.952
ori_leb	BMI	112	0.1	0.4	4.839	5.997
shuff_leb	BMI	112	0.1	1000.0	7.81	7.149
ori_leb	BMI	113	0.1	0.4	5.025	4.988
shuff_leb	BMI	113	0.1	1000.0	7.781	7.185
ori_leb	BMI	114	0.1	0.6	4.983	6.578
shuff_leb	BMI	114	0.1	1000.0	7.522	8.192
ori_leb	BMI	115	0.1	0.6	5.234	5.45
shuff_leb	BMI	115	0.9	1.0	7.818	7.334
ori_leb	BMI	116	0.1	0.4	4.87	5.588
shuff_leb	BMI	116	0.1	1000.0	7.77	7.211
ori_leb	BMI	117	0.1	0.4	4.752	6.237
shuff_leb	BMI	117	0.1	10.0	7.72	7.413
ori_leb	BMI	118	0.1	0.6	5.213	5.293
shuff_leb	BMI	118	0.1	1000.0	7.888	6.683
ori_leb	BMI	119	0.1	0.4	4.892	5.785
shuff_leb	BMI	119	0.1	1000.0	7.674	7.609
ori_leb	BMI	120	0.1	0.6	5.043	6.096
shuff_leb	BMI	120	0.1	10.0	7.631	7.793
ori_leb	BMI	121	0.1	0.6	5.107	5.761
shuff_leb	BMI	121	0.1	1000.0	7.744	7.323
ori_leb	BMI	122	0.1	0.6	4.988	6.176
shuff_leb	BMI	122	0.8	1.0	7.54	8.018
ori_leb	BMI	123	0.1	0.6	5.223	5.079
shuff_leb	BMI	123	0.9	1.0	7.815	7.044
ori_leb	BMI	124	0.1	0.4	4.703	6.514
shuff_leb	BMI	124	0.4	1.0	7.778	8.008
ori_leb	BMI	125	0.1	0.6	5.216	5.529
shuff_leb	BMI	125	0.1	1000.0	7.703	7.494
ori_leb	BMI	126	0.1	0.6	5.217	5.299
shuff_leb	BMI	126	0.1	1000.0	7.91	6.599
ori_leb	BMI	127	0.2	0.4	5.106	5.353
shuff_leb	BMI	127	0.1	10.0	7.752	7.331
ori_leb	BMI	128	0.1	0.6	5.066	5.895
shuff_leb	BMI	128	0.1	10.0	7.766	7.196
ori_leb	BMI	129	0.2	0.4	4.761	6.767
shuff_leb	BMI	129	0.9	1.0	7.686	7.608
ori_leb	BMI	130	0.1	0.6	4.897	7.138
shuff_leb	BMI	130	0.1	1000.0	7.313	8.959
ori_leb	BMI	131	0.1	0.4	4.912	5.437
shuff_leb	BMI	131	0.9	1.0	7.7	7.379
ori_leb	BMI	132	0.1	0.6	5.076	5.903
shuff_leb	BMI	132	0.4	1.0	7.908	7.348
ori_leb	BMI	133	0.1	0.6	5.061	6.199
shuff_leb	BMI	133	0.1	1000.0	7.546	8.099
ori_leb	BMI	134	0.1	0.4	4.755	5.991
shuff_leb	BMI	134	0.1	1000.0	7.723	7.409
ori_leb	BMI	135	0.1	0.6	5.148	5.394
shuff_leb	BMI	135	0.1	1000.0	7.867	6.793
ori_leb	BMI	136	0.1	0.4	4.779	6.24
shuff_leb	BMI	136	0.1	10.0	7.494	8.292
ori_leb	BMI	137	0.1	0.4	4.908	5.807
shuff_leb	BMI	137	0.1	1000.0	7.657	7.674
ori_leb	BMI	138	0.1	0.4	4.816	5.951
shuff_leb	BMI	138	0.1	10.0	7.499	8.273
ori_leb	BMI	139	0.1	0.6	5.207	5.053
shuff_leb	BMI	139	0.1	1000.0	7.832	6.967
ori_leb	BMI	140	0.1	0.4	4.752	5.924
shuff_leb	BMI	140	0.1	1000.0	7.681	7.586
ori_leb	BMI	141	0.1	0.4	4.925	5.368
shuff_leb	BMI	141	0.1	1000.0	7.842	6.897
ori_leb	BMI	142	0.1	0.4	4.702	6.348
shuff_leb	BMI	142	0.9	1.0	7.687	7.695
ori_leb	BMI	143	0.1	0.4	4.94	5.455
shuff_leb	BMI	143	0.1	1000.0	7.69	7.622
ori_leb	BMI	144	0.1	0.4	4.925	5.53
shuff_leb	BMI	144	0.9	1.0	7.833	7.032
ori_leb	BMI	145	0.1	0.4	4.896	5.279
shuff_leb	BMI	145	0.1	1000.0	7.941	6.436
ori_leb	BMI	146	0.1	0.6	5.073	5.884
shuff_leb	BMI	146	0.1	1000.0	7.725	7.405
ori_leb	BMI	147	0.1	0.6	5.068	5.894
shuff_leb	BMI	147	0.8	1.0	7.803	7.304
ori_leb	BMI	148	0.1	0.4	4.63	6.786
shuff_leb	BMI	148	0.1	1.0	7.578	8.7
