lebel_type	dis_co_occu	ran_ds_no	best_l1_ratio	best_C	best_cv_train_rmse	test_rmse
ori_leb	BMI	239	0.1	0.6	5.173	5.357
shuff_leb	BMI	239	0.1	1000.0	7.805	7.068
ori_leb	BMI	240	0.9	0.2	4.813	6.404
shuff_leb	BMI	240	0.4	1.0	8.178	6.761
ori_leb	BMI	241	0.1	0.4	4.868	5.612
shuff_leb	BMI	241	0.9	0.6	8.026	7.067
ori_leb	BMI	242	0.1	0.4	4.692	7.163
shuff_leb	BMI	242	0.1	1000.0	7.365	8.736
ori_leb	BMI	243	0.1	0.4	4.915	5.757
shuff_leb	BMI	243	0.1	10.0	7.895	6.688
ori_leb	BMI	244	0.1	0.4	4.941	5.599
shuff_leb	BMI	244	0.1	1000.0	7.643	7.837
ori_leb	BMI	245	0.1	0.4	4.774	6.516
shuff_leb	BMI	245	0.1	1000.0	7.64	7.743
ori_leb	BMI	246	0.1	0.4	4.579	6.963
shuff_leb	BMI	246	0.9	1.0	7.365	8.721
ori_leb	BMI	247	0.1	0.6	4.978	6.81
shuff_leb	BMI	247	0.8	1.0	7.411	8.537
ori_leb	BMI	248	0.1	0.4	4.739	6.464
shuff_leb	BMI	248	0.1	1000.0	7.6	7.907
ori_leb	BMI	249	0.1	0.4	4.976	5.421
shuff_leb	BMI	249	0.1	1000.0	7.939	6.459
ori_leb	BMI	250	0.2	0.4	4.829	6.508
shuff_leb	BMI	250	0.8	0.6	7.822	7.456
ori_leb	BMI	251	0.1	0.6	5.093	5.762
shuff_leb	BMI	251	0.8	1.0	7.706	7.401
ori_leb	BMI	252	0.1	0.4	5.031	4.939
shuff_leb	BMI	252	0.1	1000.0	7.802	7.149
ori_leb	BMI	253	0.1	0.6	5.03	6.559
shuff_leb	BMI	253	0.1	1000.0	7.575	8.01
ori_leb	BMI	254	0.1	0.4	4.483	7.378
shuff_leb	BMI	254	0.1	1000.0	7.177	9.365
ori_leb	BMI	255	0.1	0.4	4.753	6.43
shuff_leb	BMI	255	0.1	1000.0	7.62	7.821
ori_leb	BMI	256	0.1	0.6	4.876	7.166
shuff_leb	BMI	256	0.1	10.0	7.222	9.208
ori_leb	BMI	257	0.1	0.4	4.892	5.52
shuff_leb	BMI	257	0.1	1000.0	7.802	7.077
ori_leb	BMI	258	0.1	0.4	4.595	6.882
shuff_leb	BMI	258	0.4	1.0	7.444	9.05
ori_leb	BMI	259	0.1	0.4	4.837	6.015
shuff_leb	BMI	259	0.8	1.0	7.765	7.218
ori_leb	BMI	260	0.1	0.4	4.855	6.006
shuff_leb	BMI	260	0.1	1000.0	7.615	7.84
ori_leb	BMI	261	0.1	0.4	4.581	6.803
shuff_leb	BMI	261	0.1	1000.0	7.416	8.565
ori_leb	BMI	262	0.1	0.4	4.92	5.728
shuff_leb	BMI	262	0.9	1.0	7.739	7.284
ori_leb	BMI	263	0.1	0.4	4.875	6.106
shuff_leb	BMI	263	0.1	1000.0	7.559	8.055
ori_leb	BMI	264	0.1	0.4	4.678	6.467
shuff_leb	BMI	264	0.1	1000.0	7.687	7.567
ori_leb	BMI	265	0.1	0.4	4.93	5.192
shuff_leb	BMI	265	0.1	1000.0	7.808	7.055
ori_leb	BMI	266	0.1	0.6	5.001	6.501
shuff_leb	BMI	266	0.1	1000.0	7.544	8.106
ori_leb	BMI	267	0.1	0.6	4.791	7.424
shuff_leb	BMI	267	0.8	1.0	7.279	9.165
ori_leb	BMI	268	0.1	0.4	4.863	6.065
shuff_leb	BMI	268	0.1	10.0	7.587	7.948
ori_leb	BMI	269	0.1	0.6	5.105	6.106
shuff_leb	BMI	269	0.1	1000.0	7.812	7.031
ori_leb	BMI	270	0.1	0.4	4.892	5.773
shuff_leb	BMI	270	0.1	1000.0	7.782	7.161
ori_leb	BMI	271	0.1	0.4	4.92	5.681
shuff_leb	BMI	271	0.1	1000.0	7.844	6.904
ori_leb	BMI	272	0.1	0.4	4.666	6.637
shuff_leb	BMI	272	0.1	1000.0	7.694	7.536
ori_leb	BMI	273	0.1	0.4	4.795	6.224
shuff_leb	BMI	273	0.1	1000.0	7.578	8.0
ori_leb	BMI	274	0.1	0.4	4.885	5.359
shuff_leb	BMI	274	0.1	1000.0	7.872	6.78
ori_leb	BMI	275	0.1	0.4	4.861	5.71
shuff_leb	BMI	275	0.9	1.0	7.72	7.677
ori_leb	BMI	276	0.1	0.4	4.865	5.817
shuff_leb	BMI	276	0.1	10.0	7.626	7.815
ori_leb	BMI	277	0.1	0.6	5.206	5.342
shuff_leb	BMI	277	0.4	1.0	7.925	6.718
ori_leb	BMI	278	0.1	0.6	5.167	5.574
shuff_leb	BMI	278	0.1	1000.0	7.796	7.099
ori_leb	BMI	279	0.1	0.4	4.68	6.574
shuff_leb	BMI	279	0.1	1000.0	7.482	8.333
ori_leb	BMI	280	0.1	0.4	4.778	6.308
shuff_leb	BMI	280	0.1	10.0	7.637	7.755
ori_leb	BMI	281	0.1	0.4	4.817	5.927
shuff_leb	BMI	281	0.1	1000.0	7.974	6.292
ori_leb	BMI	282	0.1	0.4	4.867	5.644
shuff_leb	BMI	282	0.1	1000.0	7.85	6.915
ori_leb	BMI	283	0.1	0.6	4.982	6.319
shuff_leb	BMI	283	0.4	1.0	7.815	7.697
ori_leb	BMI	284	0.1	0.4	4.88	5.668
shuff_leb	BMI	284	0.1	1000.0	7.834	6.936
ori_leb	BMI	285	0.1	0.6	5.284	4.955
shuff_leb	BMI	285	0.8	1.0	7.914	7.076
ori_leb	BMI	286	0.1	0.4	4.651	7.133
shuff_leb	BMI	286	0.1	10.0	7.415	8.614
ori_leb	BMI	287	0.1	0.4	4.728	6.745
shuff_leb	BMI	287	0.1	1000.0	7.305	8.938
ori_leb	BMI	288	0.1	0.4	4.698	6.573
shuff_leb	BMI	288	0.1	1000.0	7.6	7.907
ori_leb	BMI	289	0.1	0.6	5.026	6.212
shuff_leb	BMI	289	0.1	1000.0	7.703	7.49
ori_leb	BMI	290	0.1	0.4	4.899	5.609
shuff_leb	BMI	290	0.8	1.0	7.854	7.105
ori_leb	BMI	291	0.1	0.6	4.825	7.113
shuff_leb	BMI	291	0.4	1.0	7.539	8.544
ori_leb	BMI	292	0.1	0.6	5.216	5.389
shuff_leb	BMI	292	0.1	1000.0	7.823	6.998
ori_leb	BMI	293	0.1	0.6	5.098	5.89
shuff_leb	BMI	293	0.1	1000.0	7.734	7.413
ori_leb	BMI	294	0.1	0.6	5.04	6.376
shuff_leb	BMI	294	0.1	1000.0	7.601	7.891
ori_leb	BMI	295	0.1	0.6	4.955	6.446
shuff_leb	BMI	295	0.1	1000.0	7.459	8.416
ori_leb	BMI	296	0.1	0.6	5.089	6.224
shuff_leb	BMI	296	0.1	1000.0	7.473	8.373
ori_leb	BMI	297	0.1	0.6	5.153	5.342
shuff_leb	BMI	297	0.1	1000.0	7.873	6.796
ori_leb	BMI	298	0.1	0.4	4.724	6.522
shuff_leb	BMI	298	0.8	1.0	7.661	7.503
ori_leb	BMI	299	0.1	0.6	5.068	6.247
shuff_leb	BMI	299	0.1	1000.0	7.563	8.035
ori_leb	BMI	300	0.1	0.4	4.518	7.069
shuff_leb	BMI	300	0.1	1000.0	7.449	8.461
ori_leb	BMI	301	0.1	0.4	4.746	6.465
shuff_leb	BMI	301	0.1	1000.0	7.491	8.318
ori_leb	BMI	302	0.2	0.4	4.921	6.152
shuff_leb	BMI	302	0.1	1000.0	7.605	7.886
ori_leb	BMI	303	0.1	0.4	4.703	6.418
shuff_leb	BMI	303	0.1	1000.0	7.657	7.679
ori_leb	BMI	304	0.1	0.4	4.818	6.143
shuff_leb	BMI	304	0.1	1000.0	7.48	8.357
ori_leb	BMI	305	0.1	0.6	4.87	6.793
shuff_leb	BMI	305	0.1	1000.0	7.411	8.582
ori_leb	BMI	306	0.1	0.6	4.942	6.468
shuff_leb	BMI	306	0.1	1000.0	7.567	8.044
ori_leb	BMI	307	0.1	0.4	4.969	5.327
shuff_leb	BMI	307	0.1	10.0	7.706	7.479
ori_leb	BMI	308	0.1	0.4	4.827	6.16
shuff_leb	BMI	308	0.9	1.0	7.797	6.99
ori_leb	BMI	309	0.1	0.4	4.821	5.88
shuff_leb	BMI	309	0.1	1000.0	7.897	6.643
ori_leb	BMI	310	0.1	0.6	5.008	6.31
shuff_leb	BMI	310	0.4	1.0	7.614	7.993
ori_leb	BMI	311	0.1	0.4	4.786	6.391
shuff_leb	BMI	311	0.9	0.6	7.631	8.016
ori_leb	BMI	312	0.1	0.4	4.855	5.62
shuff_leb	BMI	312	0.2	1.0	8.108	7.473
ori_leb	BMI	313	0.1	0.4	4.981	5.043
shuff_leb	BMI	313	0.9	1.0	7.94	6.911
ori_leb	BMI	314	0.1	0.4	4.753	6.055
shuff_leb	BMI	314	0.1	1000.0	7.759	7.262
ori_leb	BMI	315	0.1	0.4	4.783	6.13
shuff_leb	BMI	315	0.1	1000.0	7.801	7.101
ori_leb	BMI	316	0.1	0.4	4.796	5.679
shuff_leb	BMI	316	0.1	1000.0	7.872	6.792
ori_leb	BMI	317	0.1	0.6	5.023	6.228
shuff_leb	BMI	317	0.1	1000.0	7.692	7.533
ori_leb	BMI	318	0.1	0.4	4.664	6.469
shuff_leb	BMI	318	0.1	1000.0	7.467	8.386
ori_leb	BMI	319	0.1	0.4	4.884	6.208
shuff_leb	BMI	319	0.1	1000.0	7.736	7.352
ori_leb	BMI	320	0.1	0.4	4.809	6.343
shuff_leb	BMI	320	0.4	1.0	7.469	8.528
ori_leb	BMI	321	0.1	0.6	5.178	5.588
shuff_leb	BMI	321	0.9	1.0	7.82	7.159
ori_leb	BMI	322	0.1	0.4	4.915	5.069
shuff_leb	BMI	322	0.1	1000.0	7.964	6.331
ori_leb	BMI	323	0.1	0.4	4.679	7.017
shuff_leb	BMI	323	0.1	1000.0	7.526	8.239
ori_leb	BMI	324	0.1	0.6	5.203	5.424
shuff_leb	BMI	324	0.1	1000.0	7.605	7.893
ori_leb	BMI	325	0.1	0.6	5.095	5.805
shuff_leb	BMI	325	0.1	1000.0	7.701	7.51
ori_leb	BMI	326	0.1	0.4	4.749	6.433
shuff_leb	BMI	326	0.9	1.0	7.432	8.492
ori_leb	BMI	327	0.1	0.4	4.856	5.649
shuff_leb	BMI	327	0.1	1000.0	7.72	7.425
ori_leb	BMI	328	0.1	0.4	4.808	6.455
shuff_leb	BMI	328	0.1	1000.0	7.5	8.266
ori_leb	BMI	329	0.1	0.6	5.265	5.054
shuff_leb	BMI	329	0.1	1000.0	7.722	7.413
ori_leb	BMI	330	0.1	0.4	4.894	5.604
shuff_leb	BMI	330	0.1	1000.0	7.746	7.316
ori_leb	BMI	331	0.1	0.4	4.878	5.626
shuff_leb	BMI	331	0.8	1.0	7.857	6.804
ori_leb	BMI	332	0.1	1.0	5.554	5.501
shuff_leb	BMI	332	0.1	1000.0	7.792	7.134
ori_leb	BMI	333	0.1	0.4	4.707	6.421
shuff_leb	BMI	333	0.6	1.0	7.735	7.425
ori_leb	BMI	334	0.2	0.4	4.768	6.561
shuff_leb	BMI	334	0.1	1000.0	7.374	8.705
ori_leb	BMI	335	0.1	0.6	5.009	5.774
shuff_leb	BMI	335	0.1	1000.0	7.895	6.651
ori_leb	BMI	336	0.1	0.6	4.819	6.943
shuff_leb	BMI	336	0.1	1000.0	7.333	8.865
ori_leb	BMI	337	0.1	0.4	4.845	5.469
shuff_leb	BMI	337	0.1	1000.0	7.832	6.943
ori_leb	BMI	338	0.2	0.4	4.911	5.856
shuff_leb	BMI	338	0.1	1000.0	7.717	7.441
ori_leb	BMI	339	0.1	0.4	4.502	7.742
shuff_leb	BMI	339	0.6	1.0	7.347	9.018
ori_leb	BMI	340	0.1	1.0	5.466	5.933
shuff_leb	BMI	340	0.1	1000.0	7.718	7.437
ori_leb	BMI	341	0.1	0.4	4.818	5.792
shuff_leb	BMI	341	0.9	1.0	7.974	6.46
ori_leb	BMI	342	0.1	0.4	4.879	6.048
shuff_leb	BMI	342	0.9	1.0	7.782	7.25
ori_leb	BMI	343	0.1	0.4	4.664	6.76
shuff_leb	BMI	343	0.9	1.0	7.625	8.132
ori_leb	BMI	344	0.1	0.4	4.723	6.101
shuff_leb	BMI	344	0.9	1.0	7.745	7.491
ori_leb	BMI	345	0.1	0.6	5.145	5.558
shuff_leb	BMI	345	0.1	1000.0	7.75	7.298
ori_leb	BMI	346	0.1	0.6	5.15	5.548
shuff_leb	BMI	346	0.6	1.0	7.708	7.664
ori_leb	BMI	347	0.1	0.4	4.969	5.339
shuff_leb	BMI	347	0.6	1.0	7.729	7.506
ori_leb	BMI	348	0.1	0.6	5.089	5.798
shuff_leb	BMI	348	0.9	1.0	7.659	7.813
ori_leb	BMI	349	0.1	0.6	5.214	5.407
shuff_leb	BMI	349	0.1	10.0	7.72	7.439
ori_leb	BMI	350	0.1	0.4	4.985	5.308
shuff_leb	BMI	350	0.1	1000.0	7.872	6.767
ori_leb	BMI	351	0.1	0.2	4.545	5.99
shuff_leb	BMI	351	0.1	10.0	7.957	6.367
ori_leb	BMI	352	0.1	0.4	4.905	6.167
shuff_leb	BMI	352	0.8	1.0	7.649	7.79
ori_leb	BMI	353	0.1	0.6	4.948	6.515
shuff_leb	BMI	353	0.1	1000.0	7.596	7.914
ori_leb	BMI	354	0.1	0.6	5.15	5.8
shuff_leb	BMI	354	0.1	1.0	7.993	7.301
ori_leb	BMI	355	0.1	0.4	4.576	6.688
shuff_leb	BMI	355	0.8	1.0	7.531	8.339
ori_leb	BMI	356	0.1	0.6	5.011	6.17
shuff_leb	BMI	356	0.9	1.0	7.714	7.635
ori_leb	BMI	357	0.1	0.4	4.832	6.184
shuff_leb	BMI	357	0.1	1000.0	7.724	7.422
ori_leb	BMI	358	0.1	0.6	4.896	6.444
shuff_leb	BMI	358	0.8	1.0	7.604	8.01
ori_leb	BMI	359	0.1	0.4	4.668	6.794
shuff_leb	BMI	359	0.9	1.0	7.809	7.372
ori_leb	BMI	360	0.1	0.6	5.188	5.319
shuff_leb	BMI	360	0.4	1.0	7.988	7.248
ori_leb	BMI	361	0.1	0.4	4.824	6.237
shuff_leb	BMI	361	0.1	1000.0	7.556	8.066
ori_leb	BMI	362	0.1	0.4	4.935	5.554
shuff_leb	BMI	362	0.1	1000.0	7.8	7.157
ori_leb	BMI	363	0.1	0.4	4.632	6.518
shuff_leb	BMI	363	0.1	1000.0	7.477	8.349
ori_leb	BMI	364	0.1	0.4	4.868	5.52
shuff_leb	BMI	364	0.1	10.0	7.712	7.472
ori_leb	BMI	365	0.1	0.4	4.833	6.155
shuff_leb	BMI	365	0.6	1.0	7.631	8.222
ori_leb	BMI	366	0.1	0.4	4.595	6.8
shuff_leb	BMI	366	0.1	1000.0	7.481	8.334
ori_leb	BMI	367	0.1	0.4	4.774	6.159
shuff_leb	BMI	367	0.9	1.0	7.725	7.493
ori_leb	BMI	368	0.1	0.4	4.777	6.208
shuff_leb	BMI	368	0.1	1000.0	7.502	8.261
ori_leb	BMI	369	0.2	0.4	4.907	6.311
shuff_leb	BMI	369	0.1	1000.0	7.352	8.813
ori_leb	BMI	370	0.1	0.6	4.947	7.034
shuff_leb	BMI	370	0.8	1.0	7.072	9.63
ori_leb	BMI	371	0.1	0.6	5.235	5.275
shuff_leb	BMI	371	0.1	1000.0	7.754	7.304
ori_leb	BMI	372	0.1	0.6	5.094	5.858
shuff_leb	BMI	372	0.9	1.0	7.587	7.898
ori_leb	BMI	373	0.1	0.4	4.948	5.499
shuff_leb	BMI	373	0.1	1000.0	7.734	7.365
ori_leb	BMI	374	0.1	0.4	4.83	5.684
shuff_leb	BMI	374	0.4	1.0	7.772	7.646
ori_leb	BMI	375	0.1	0.6	4.988	6.203
shuff_leb	BMI	375	0.1	1000.0	7.712	7.454
ori_leb	BMI	376	0.1	0.6	5.127	6.247
shuff_leb	BMI	376	0.1	1000.0	7.59	7.933
ori_leb	BMI	377	0.1	0.4	4.633	6.406
shuff_leb	BMI	377	0.9	1.0	7.817	7.111
ori_leb	BMI	378	0.1	0.6	5.11	6.266
shuff_leb	BMI	378	0.8	1.0	7.523	8.093
ori_leb	BMI	379	0.1	0.4	4.828	5.69
shuff_leb	BMI	379	0.8	1.0	7.69	7.636
ori_leb	BMI	380	0.1	0.6	5.239	5.014
shuff_leb	BMI	380	0.1	1000.0	7.875	6.747
ori_leb	BMI	381	0.1	0.4	4.845	5.973
shuff_leb	BMI	381	0.9	0.6	8.055	6.311
ori_leb	BMI	382	0.2	0.4	4.932	5.632
shuff_leb	BMI	382	0.1	1000.0	7.822	6.988
ori_leb	BMI	383	0.1	0.4	4.897	5.535
shuff_leb	BMI	383	0.1	1000.0	7.904	6.611
ori_leb	BMI	384	0.1	0.4	4.928	5.782
shuff_leb	BMI	384	0.1	1000.0	7.779	7.173
ori_leb	BMI	385	0.1	0.6	4.801	7.274
shuff_leb	BMI	385	0.6	1.0	7.421	8.939
ori_leb	BMI	386	0.1	0.6	5.21	5.563
shuff_leb	BMI	386	0.1	1000.0	7.687	7.558
ori_leb	BMI	387	0.1	0.4	4.735	6.355
shuff_leb	BMI	387	0.1	1000.0	7.642	7.737
ori_leb	BMI	388	0.1	0.4	4.713	6.652
shuff_leb	BMI	388	0.1	1000.0	7.432	8.51
ori_leb	BMI	389	0.2	0.4	4.935	6.138
shuff_leb	BMI	389	0.1	1000.0	7.548	8.092
ori_leb	BMI	390	0.1	0.4	4.831	5.761
shuff_leb	BMI	390	0.1	1000.0	7.805	7.093
ori_leb	BMI	391	0.1	0.4	4.865	6.068
shuff_leb	BMI	391	0.1	1000.0	7.797	7.105
ori_leb	BMI	392	0.1	0.4	4.712	6.59
shuff_leb	BMI	392	0.8	1.0	7.584	8.154
ori_leb	BMI	393	0.1	0.6	4.971	6.551
shuff_leb	BMI	393	0.8	1.0	7.421	8.818
ori_leb	BMI	394	0.1	0.4	4.911	5.796
shuff_leb	BMI	394	0.6	1.0	7.762	7.154
ori_leb	BMI	395	0.2	0.4	4.719	6.73
shuff_leb	BMI	395	0.1	10.0	7.448	8.442
ori_leb	BMI	396	0.1	0.4	4.783	6.515
shuff_leb	BMI	396	0.1	10.0	7.412	8.568
ori_leb	BMI	397	0.1	0.6	4.9	6.867
shuff_leb	BMI	397	0.8	1.0	7.612	8.021
ori_leb	BMI	398	0.1	0.4	5.105	4.893
shuff_leb	BMI	398	0.1	1000.0	7.873	6.763
ori_leb	BMI	399	0.1	0.4	4.781	6.122
shuff_leb	BMI	399	0.1	1000.0	7.614	7.844
ori_leb	BMI	400	0.1	0.4	4.675	6.75
shuff_leb	BMI	400	0.1	1000.0	7.386	8.666
ori_leb	BMI	401	0.1	0.4	4.706	6.468
shuff_leb	BMI	401	0.1	1000.0	7.726	7.405
ori_leb	BMI	402	0.1	0.4	4.848	5.854
shuff_leb	BMI	402	0.1	1000.0	7.722	7.415
ori_leb	BMI	403	0.1	0.6	4.969	6.622
shuff_leb	BMI	403	0.1	10.0	7.4	8.62
ori_leb	BMI	404	0.1	0.4	4.727	6.341
shuff_leb	BMI	404	0.8	1.0	7.542	8.138
ori_leb	BMI	405	0.1	0.4	4.929	6.155
shuff_leb	BMI	405	0.1	1000.0	7.622	7.811
ori_leb	BMI	406	0.1	0.6	5.075	6.117
shuff_leb	BMI	406	0.1	1000.0	7.815	7.029
ori_leb	BMI	407	0.1	0.4	4.644	6.843
shuff_leb	BMI	407	0.1	1000.0	7.407	8.603
ori_leb	BMI	408	0.1	0.4	4.943	5.444
shuff_leb	BMI	408	0.1	1000.0	7.734	7.366
ori_leb	BMI	409	0.1	0.6	5.112	5.606
shuff_leb	BMI	409	0.1	1000.0	7.667	7.692
ori_leb	BMI	410	0.1	0.4	4.912	5.55
shuff_leb	BMI	410	0.1	1000.0	7.726	7.441
ori_leb	BMI	411	0.1	0.4	4.931	5.412
shuff_leb	BMI	411	0.8	1.0	7.885	6.692
ori_leb	BMI	412	0.1	0.4	4.595	6.652
shuff_leb	BMI	412	0.1	1000.0	7.447	8.461
ori_leb	BMI	413	0.1	0.4	4.925	5.727
shuff_leb	BMI	413	0.1	1000.0	7.897	6.644
ori_leb	BMI	414	0.1	0.6	5.272	4.762
shuff_leb	BMI	414	0.8	1.0	7.848	6.931
ori_leb	BMI	415	0.1	0.6	5.037	6.439
shuff_leb	BMI	415	0.1	1000.0	7.401	8.624
ori_leb	BMI	416	0.1	0.4	4.912	5.565
shuff_leb	BMI	416	0.1	1000.0	7.694	7.529
ori_leb	BMI	417	0.1	0.6	5.098	6.123
shuff_leb	BMI	417	0.4	1.0	7.683	8.141
ori_leb	BMI	418	0.1	0.4	4.875	5.688
shuff_leb	BMI	418	0.1	1000.0	7.711	7.467
ori_leb	BMI	419	0.1	0.4	4.875	5.783
shuff_leb	BMI	419	0.8	1.0	7.763	7.626
ori_leb	BMI	420	0.1	0.4	4.91	5.355
shuff_leb	BMI	420	0.1	1000.0	7.939	6.491
ori_leb	BMI	421	0.1	0.6	5.075	5.73
shuff_leb	BMI	421	0.1	1000.0	7.667	7.636
ori_leb	BMI	422	0.1	0.4	4.846	6.07
shuff_leb	BMI	422	0.4	1.0	7.612	7.986
ori_leb	BMI	423	0.1	0.6	5.162	5.37
shuff_leb	BMI	423	0.1	1000.0	7.875	6.762
ori_leb	BMI	424	0.2	0.4	5.019	5.412
shuff_leb	BMI	424	0.9	0.6	7.89	7.15
ori_leb	BMI	425	0.1	0.4	4.853	5.628
shuff_leb	BMI	425	0.9	1.0	7.965	6.381
ori_leb	BMI	426	0.1	0.4	4.731	6.514
shuff_leb	BMI	426	0.1	10.0	7.66	7.67
ori_leb	BMI	427	0.1	0.6	5.051	6.125
shuff_leb	BMI	427	0.1	1.0	7.64	8.758
ori_leb	BMI	428	0.1	0.6	5.123	5.751
shuff_leb	BMI	428	0.1	10.0	7.615	7.845
ori_leb	BMI	429	0.1	0.6	5.15	5.396
shuff_leb	BMI	429	0.8	0.6	8.143	7.202
ori_leb	BMI	430	0.1	0.4	4.534	7.141
shuff_leb	BMI	430	0.8	1.0	7.335	8.91
ori_leb	BMI	431	0.1	0.6	5.047	6.338
shuff_leb	BMI	431	0.1	10.0	7.565	8.08
ori_leb	BMI	432	0.1	0.6	4.932	6.445
shuff_leb	BMI	432	0.1	1000.0	7.641	7.741
ori_leb	BMI	433	0.1	0.4	4.828	5.907
shuff_leb	BMI	433	0.4	1.0	7.763	7.553
ori_leb	BMI	434	0.1	0.4	4.772	6.335
shuff_leb	BMI	434	0.1	1000.0	7.429	8.517
ori_leb	BMI	435	0.1	0.6	5.026	6.162
shuff_leb	BMI	435	0.1	1000.0	7.454	8.43
ori_leb	BMI	436	0.1	0.4	4.653	6.313
shuff_leb	BMI	436	0.8	1.0	7.812	7.414
ori_leb	BMI	437	0.1	0.4	4.563	6.977
shuff_leb	BMI	437	0.1	1000.0	7.489	8.332
ori_leb	BMI	438	0.1	0.4	4.809	6.36
shuff_leb	BMI	438	0.1	1000.0	8.027	5.993
ori_leb	BMI	439	0.1	0.4	4.761	6.117
shuff_leb	BMI	439	0.1	1000.0	7.557	8.062
ori_leb	BMI	440	0.1	0.6	5.286	4.962
shuff_leb	BMI	440	0.9	1.0	7.826	7.074
ori_leb	BMI	441	0.1	0.4	4.985	5.406
shuff_leb	BMI	441	0.1	1000.0	7.8	7.085
ori_leb	BMI	442	0.1	0.6	5.194	5.402
shuff_leb	BMI	442	0.1	10.0	7.954	6.392
ori_leb	BMI	443	0.1	0.6	5.095	6.032
shuff_leb	BMI	443	0.9	1.0	7.548	8.165
ori_leb	BMI	444	0.1	0.4	4.678	6.777
shuff_leb	BMI	444	0.1	1000.0	7.263	9.087
ori_leb	BMI	445	0.1	0.4	4.849	5.726
shuff_leb	BMI	445	0.2	1.0	8.157	6.735
ori_leb	BMI	446	0.1	0.4	4.79	5.764
shuff_leb	BMI	446	0.1	10.0	7.832	6.953
ori_leb	BMI	447	0.9	0.2	4.88	6.305
shuff_leb	BMI	447	0.6	1.0	7.756	7.429
ori_leb	BMI	448	0.1	0.6	5.232	5.367
shuff_leb	BMI	448	0.1	1000.0	7.886	6.782
ori_leb	BMI	449	0.1	0.6	5.041	5.924
shuff_leb	BMI	449	0.6	1.0	7.7	7.49
ori_leb	BMI	450	0.1	0.6	5.306	4.784
shuff_leb	BMI	450	0.1	1000.0	7.798	7.104
ori_leb	BMI	451	0.1	0.6	5.106	5.747
shuff_leb	BMI	451	0.1	1000.0	7.71	7.463
ori_leb	BMI	452	0.1	0.6	5.172	5.514
shuff_leb	BMI	452	0.1	1000.0	7.87	6.792
ori_leb	BMI	453	0.1	0.4	4.857	5.737
shuff_leb	BMI	453	0.1	1000.0	7.723	7.43
ori_leb	BMI	454	0.1	0.6	5.28	4.959
shuff_leb	BMI	454	0.8	1.0	7.966	6.654
ori_leb	BMI	455	0.1	0.4	4.759	6.032
shuff_leb	BMI	455	0.1	10.0	7.878	6.754
ori_leb	BMI	456	0.1	0.4	4.773	6.292
shuff_leb	BMI	456	0.8	1.0	7.511	8.507
ori_leb	BMI	457	0.1	0.4	4.749	6.199
shuff_leb	BMI	457	0.9	0.6	7.561	8.971
ori_leb	BMI	458	0.8	0.2	4.789	6.642
shuff_leb	BMI	458	0.6	1.0	7.814	7.514
ori_leb	BMI	459	0.1	0.4	4.485	7.291
shuff_leb	BMI	459	0.2	1.0	7.575	8.134
ori_leb	BMI	460	0.1	0.6	5.073	6.257
shuff_leb	BMI	460	0.8	0.6	7.936	7.627
ori_leb	BMI	461	0.1	0.4	4.738	6.017
shuff_leb	BMI	461	0.9	1.0	7.766	7.392
ori_leb	BMI	462	0.1	0.6	4.974	6.402
shuff_leb	BMI	462	0.9	1.0	7.52	8.197
ori_leb	BMI	463	0.1	0.4	4.822	5.636
shuff_leb	BMI	463	0.8	1.0	8.043	6.198
ori_leb	BMI	464	0.1	0.4	4.875	5.386
shuff_leb	BMI	464	0.1	1000.0	7.985	6.226
ori_leb	BMI	465	0.1	0.6	5.092	5.794
shuff_leb	BMI	465	0.1	1000.0	7.858	6.852
ori_leb	BMI	466	0.1	0.6	5.238	5.195
shuff_leb	BMI	466	0.1	1000.0	7.75	7.296
ori_leb	BMI	467	0.1	0.4	4.828	5.931
shuff_leb	BMI	467	0.1	1000.0	8.018	6.059
ori_leb	BMI	468	0.1	0.6	5.128	5.765
shuff_leb	BMI	468	0.1	1000.0	7.674	7.606
ori_leb	BMI	469	0.1	0.6	5.182	5.424
shuff_leb	BMI	469	0.1	1000.0	7.728	7.387
ori_leb	BMI	470	0.1	0.6	5.045	6.305
shuff_leb	BMI	470	0.8	1.0	7.502	8.324
ori_leb	BMI	471	0.1	0.6	5.071	6.001
shuff_leb	BMI	471	0.1	1000.0	7.722	7.48
ori_leb	BMI	472	0.1	0.4	4.646	7.028
shuff_leb	BMI	472	0.1	1000.0	7.403	8.629
ori_leb	BMI	473	0.1	0.4	4.815	5.823
shuff_leb	BMI	473	0.1	1000.0	7.56	8.048
ori_leb	BMI	474	0.1	0.4	4.374	7.771
shuff_leb	BMI	474	0.1	1000.0	7.216	9.252
ori_leb	BMI	475	0.1	0.6	5.105	5.523
shuff_leb	BMI	475	0.4	1.0	8.036	7.481
ori_leb	BMI	476	0.1	0.6	5.089	5.952
shuff_leb	BMI	476	0.1	1000.0	7.611	7.853
ori_leb	BMI	477	0.1	0.4	4.613	6.743
shuff_leb	BMI	477	0.1	1000.0	7.451	8.52
ori_leb	BMI	478	0.1	0.4	4.786	6.069
shuff_leb	BMI	478	0.1	1000.0	7.813	7.085
ori_leb	BMI	479	0.1	0.6	5.128	5.941
shuff_leb	BMI	479	0.1	1000.0	7.662	7.703
ori_leb	BMI	480	0.1	0.4	4.762	6.226
shuff_leb	BMI	480	0.1	1000.0	7.396	8.636
