lebel_type	dis_co_occu	dis_pos	dis_neg	ran_ds_no	best_l1_ratio	best_C	best_cv_train_balanced_accuracy	test_balanced_accuracy
ori_leb	Karyotype	304	95	39	0.4	0.1	0.854	0.918
shuff_leb	Karyotype	304	95	39	0.8	0.1	0.501	0.558
ori_leb	Karyotype	304	95	40	0.6	0.4	0.872	0.926
shuff_leb	Karyotype	304	95	40	0.1	1000.0	0.496	0.517
ori_leb	Karyotype	304	95	41	0.6	0.6	0.876	0.926
shuff_leb	Karyotype	304	95	41	0.9	0.1	0.509	0.468
ori_leb	Karyotype	304	95	42	0.4	0.2	0.885	0.877
shuff_leb	Karyotype	304	95	42	0.1	0.2	0.55	0.544
ori_leb	Karyotype	304	95	43	0.6	1.0	0.891	0.926
shuff_leb	Karyotype	304	95	43	0.1	0.001	0.486	0.5
ori_leb	Karyotype	304	95	44	0.6	0.4	0.898	0.902
shuff_leb	Karyotype	304	95	44	0.1	0.2	0.468	0.473
ori_leb	Karyotype	304	95	45	0.4	0.2	0.891	0.934
shuff_leb	Karyotype	304	95	45	0.1	0.001	0.5	0.5
ori_leb	Karyotype	304	95	46	0.4	0.2	0.867	0.902
shuff_leb	Karyotype	304	95	46	0.4	0.4	0.466	0.529
ori_leb	Karyotype	304	95	47	0.8	0.2	0.888	0.893
shuff_leb	Karyotype	304	95	47	0.6	10.0	0.458	0.522
ori_leb	Karyotype	304	95	48	0.2	1.0	0.881	0.885
shuff_leb	Karyotype	304	95	48	0.1	0.001	0.481	0.5
ori_leb	Karyotype	304	95	49	0.9	0.2	0.887	0.893
shuff_leb	Karyotype	304	95	49	0.8	0.1	0.504	0.552
ori_leb	Karyotype	304	95	50	0.8	0.6	0.898	0.902
shuff_leb	Karyotype	304	95	50	0.1	0.001	0.455	0.5
ori_leb	Karyotype	304	95	51	0.1	0.2	0.908	0.885
shuff_leb	Karyotype	304	95	51	0.1	0.1	0.568	0.476
ori_leb	Karyotype	304	95	52	0.9	0.4	0.888	0.951
shuff_leb	Karyotype	304	95	52	0.6	0.1	0.519	0.476
ori_leb	Karyotype	304	95	53	0.6	0.4	0.902	0.885
shuff_leb	Karyotype	304	95	53	0.9	0.4	0.514	0.407
ori_leb	Karyotype	304	95	54	0.4	0.2	0.885	0.918
shuff_leb	Karyotype	304	95	54	0.9	0.2	0.49	0.501
ori_leb	Karyotype	304	95	55	0.9	1.0	0.867	0.869
shuff_leb	Karyotype	304	95	55	0.1	0.001	0.458	0.5
ori_leb	Karyotype	304	95	56	0.6	0.4	0.892	0.877
shuff_leb	Karyotype	304	95	56	0.6	100.0	0.534	0.57
ori_leb	Karyotype	304	95	57	0.2	0.1	0.871	0.918
shuff_leb	Karyotype	304	95	57	0.2	0.2	0.63	0.443
ori_leb	Karyotype	304	95	58	0.8	0.6	0.885	0.943
shuff_leb	Karyotype	304	95	58	0.4	0.1	0.476	0.396
ori_leb	Karyotype	304	95	59	0.1	0.1	0.898	0.893
shuff_leb	Karyotype	304	95	59	0.1	1.0	0.532	0.406
ori_leb	Karyotype	304	95	60	0.4	0.6	0.878	0.885
shuff_leb	Karyotype	304	95	60	0.8	100.0	0.535	0.582
ori_leb	Karyotype	304	95	61	0.2	0.1	0.887	0.875
shuff_leb	Karyotype	304	95	61	0.1	0.1	0.491	0.32
ori_leb	Karyotype	304	95	62	0.2	0.2	0.888	0.893
shuff_leb	Karyotype	304	95	62	0.1	1000.0	0.494	0.399
ori_leb	Karyotype	304	95	63	0.9	0.6	0.892	0.943
shuff_leb	Karyotype	304	95	63	0.1	0.001	0.44	0.5
ori_leb	Karyotype	304	95	64	0.8	0.4	0.881	0.926
shuff_leb	Karyotype	304	95	64	0.2	0.4	0.635	0.67
ori_leb	Karyotype	304	95	65	0.9	0.4	0.896	0.918
shuff_leb	Karyotype	304	95	65	0.8	0.1	0.478	0.484
ori_leb	Karyotype	304	95	66	0.4	0.6	0.865	0.918
shuff_leb	Karyotype	304	95	66	0.1	0.2	0.533	0.466
ori_leb	Karyotype	304	95	67	0.1	0.6	0.878	0.926
shuff_leb	Karyotype	304	95	67	0.8	10.0	0.512	0.397
ori_leb	Karyotype	304	95	68	0.6	0.6	0.888	0.893
shuff_leb	Karyotype	304	95	68	0.1	0.001	0.455	0.5
ori_leb	Karyotype	304	95	69	0.8	0.4	0.888	0.885
shuff_leb	Karyotype	304	95	69	0.1	0.001	0.476	0.5
ori_leb	Karyotype	304	95	70	0.2	0.1	0.865	0.91
shuff_leb	Karyotype	304	95	70	0.8	0.1	0.5	0.422
ori_leb	Karyotype	304	95	71	0.6	1.0	0.867	0.91
